split,strategy,date,entry_time,exit_time,entry_datetime,exit_datetime,entry_price,exit_price,direction,pnl_points,pnl_hkd,holding_bars,exit_reason,strategy_at_entry,regime_at_entry
train,LONG_OR_FLAT_FILTERED,20180622,133800,162900,2018-06-22 13:38:00,2018-06-22 16:29:00,29336.0,29345.0,1,7.0,350.0,171,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20180626,131300,155300,2018-06-26 13:13:00,2018-06-26 15:53:00,28985.0,28816.0,1,-171.0,-8550.0,160,stop_loss,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20180628,155000,162900,2018-06-28 15:50:00,2018-06-28 16:29:00,28328.0,28265.0,1,-65.0,-3250.0,39,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20180629,102600,162900,2018-06-29 10:26:00,2018-06-29 16:29:00,28519.0,28734.0,1,213.0,10650.0,303,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20180705,152100,162900,2018-07-05 15:21:00,2018-07-05 16:29:00,28114.0,28184.0,1,68.0,3400.0,68,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20180706,130700,162900,2018-07-06 13:07:00,2018-07-06 16:29:00,28224.0,28197.0,1,-29.0,-1450.0,202,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20180709,153600,162900,2018-07-09 15:36:00,2018-07-09 16:29:00,28691.0,28707.0,1,14.0,700.0,53,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20180711,102400,162900,2018-07-11 10:24:00,2018-07-11 16:29:00,28250.0,28268.0,1,16.0,800.0,305,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20180712,102400,162900,2018-07-12 10:24:00,2018-07-12 16:29:00,28441.0,28488.0,1,45.0,2250.0,305,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20180720,133200,162900,2018-07-20 13:32:00,2018-07-20 16:29:00,28069.0,28224.0,1,153.0,7650.0,177,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20180723,130100,162900,2018-07-23 13:01:00,2018-07-23 16:29:00,28262.0,28210.0,1,-54.0,-2700.0,208,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20180724,101600,162900,2018-07-24 10:16:00,2018-07-24 16:29:00,28541.0,28646.0,1,103.0,5150.0,313,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20180725,144100,162900,2018-07-25 14:41:00,2018-07-25 16:29:00,28948.0,28895.0,1,-55.0,-2750.0,108,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20180727,110100,162900,2018-07-27 11:01:00,2018-07-27 16:29:00,28801.0,28722.0,1,-81.0,-4050.0,268,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20180730,105400,162900,2018-07-30 10:54:00,2018-07-30 16:29:00,28603.0,28672.0,1,67.0,3350.0,275,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20180806,103500,112900,2018-08-06 10:35:00,2018-08-06 11:29:00,27991.0,27827.0,1,-166.0,-8300.0,54,stop_loss,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20180807,112400,162900,2018-08-07 11:24:00,2018-08-07 16:29:00,27968.0,28211.0,1,241.0,12050.0,245,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20180808,131600,141300,2018-08-08 13:16:00,2018-08-08 14:13:00,28325.0,28159.0,1,-168.0,-8400.0,57,stop_loss,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20180809,102300,162900,2018-08-09 10:23:00,2018-08-09 16:29:00,28334.0,28528.0,1,192.0,9600.0,306,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20180813,143600,153500,2018-08-13 14:36:00,2018-08-13 15:35:00,27967.0,27799.0,1,-170.0,-8500.0,59,stop_loss,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20180816,101500,104900,2018-08-16 10:15:00,2018-08-16 10:49:00,27319.0,27136.0,1,-185.0,-9250.0,34,stop_loss,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20180820,103200,110000,2018-08-20 10:32:00,2018-08-20 11:00:00,27490.0,27318.0,1,-174.0,-8700.0,28,stop_loss,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20180821,110400,162900,2018-08-21 11:04:00,2018-08-21 16:29:00,27678.0,27619.0,1,-61.0,-3050.0,265,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20180822,111300,162900,2018-08-22 11:13:00,2018-08-22 16:29:00,27833.0,27825.0,1,-10.0,-500.0,256,session_end,LONG_FILTERED,TREND
